,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors) -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managers & Administrators (Including Working Proprietors) -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professionals -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professionals -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professionals -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professionals -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professionals & Technicians -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerical Support Workers -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service & Sales Workers -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trades Workers -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trades Workers -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trades Workers -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftsmen & Related Trades Workers -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant & Machine Operators & Assemblers -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers -> Services -> Wholesale & Retail Trade (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers -> Services -> Transportation & Storage (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers -> Services -> Financial & Insurance Services (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleaners, Labourers & Related Workers -> Other Industries Nes (Thousand):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Occupation Groups Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Includes agricultural and fishery workers and workers not classifiable by occupation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Occupation Groups Nes -> Services -> Wholesale & Retail Trade (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to wholesale, retail, hotels and restaurants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Occupation Groups Nes -> Services -> Transportation & Storage (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994, 1996-1999 and 2001-2004 refers to transport, storage and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Occupation Groups Nes -> Services -> Financial & Insurance Services (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1991-1994 and 1996-1997 refers to financial, insurance, real estate and business services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Occupation Groups Nes -> Other Industries Nes (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes agriculture, fishing, quarrying, utilities, sewerage and waste management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation of a working person refers to the kind of work the person was doing during the reference period, which may not necessarily be related to his training, skill or professional qualification. In the case of a person who performs two or more kinds of work, his occupation would refer to the one in which he usually works the longest hours during the reference period. The Singapore Standard Occupational Classification (SSOC) is used to classify working persons by occupation. SSOC 2015 is used to classify the data from 2015 onwards. SS0C 2010 is used to classify working persons for the years 2010 and 2012/13. SSOC 2005 and SSOC 2000 are used to classify the data for the years 2005 and 2000 respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 26/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
